name,ticker,has_intraday,has_eod,exchange_name,exchange_acronym,exchange_mic
Microsoft Corporation,MSFT,false,true,NASDAQ - ALL MARKETS,NASDAQ,XNAS
Apple Inc,AAPL,false,true,NASDAQ - ALL MARKETS,NASDAQ,XNAS
Amazon.com Inc,AMZN,false,true,NASDAQ - ALL MARKETS,NASDAQ,XNAS
Alphabet Inc - Class C,GOOG,false,true,NASDAQ - ALL MARKETS,NASDAQ,XNAS
Alphabet Inc - Class A,GOOGL,false,true,NASDAQ - ALL MARKETS,NASDAQ,XNAS
Alibaba Group Holding Ltd,BABA,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
ProShares S&P 500 Dynamic Buffer ETF,FB,false,true,CBOE BZX U.S. EQUITIES EXCHANGE,BATS,BATS
BERKSHIRE HATHAWAY INC,BRK.B,false,false,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
BERKSHIRE HATHAWAY INC,BRK.A,false,false,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
Vodafone Group plc,VOD,false,true,NASDAQ - ALL MARKETS,NASDAQ,XNAS
Visa Inc - Class A,V,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
JPMorgan Chase & Company,JPM,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
Johnson & Johnson,JNJ,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
Walmart Inc,WMT,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
Mastercard Incorporated - Class A,MA,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
Procter & Gamble Company,PG,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
Taiwan Semiconductor Manufacturing,TSM,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
Chunghwa Telecom,CHT,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
Roche Holding AG,RHHBF,false,true,OTC LINK ATS - OTC MARKETS,"",OTCM
Roche Holding AG,RHHVF,false,true,OTC LINK ATS - OTC MARKETS,"",OTCM
AT&T Inc,T,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
Unitedhealth Group Inc,UNH,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
Bank Of America Corp,BAC,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
Home Depot Inc,HD,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
Intel Corp,INTC,false,true,NASDAQ - ALL MARKETS,NASDAQ,XNAS
Coca-Cola Company,KO,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
Verizon Communications Inc,VZ,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
Roche Holding AG,RHHBY,false,true,OTC LINK ATS - OTC MARKETS,"",OTCM
Exxon Mobil Corp,XOM,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
Walt Disney Co (The),DIS,false,true,"NEW YORK STOCK EXCHANGE, INC.",NYSE,XNYS
